Plans,Optimized Plans,Optimization Ratio,Overall Makespan,Optimized Makespan,Makespan Ratio,Computation Time
58,4,0.06896552,536,7,0.013059702,3.921205
7429,2198,0.29479614,79530,3454,0.043430153,922.1097
58,4,0.06896552,536,7,0.013059702,3.9035
0,0,NaN,0,0,NaN,0
0,0,NaN,0,0,NaN,0
0,0,NaN,0,0,NaN,0
0,0,NaN,0,0,NaN,0
0,0,NaN,0,0,NaN,0
0,0,NaN,0,0,NaN,0
0,0,NaN,0,0,NaN,0
1,0,0,10,0,0,0.06391219
1,0,0,10,0,0,0.06416197
1,0,0,10,0,0,0.065868974
61,4,0.06557377,556,7,0.012589928,4.1396723
1906,56,0.029380903,10737,72,0.006705784,93.977036
1,0,0,10,0,0,0.08533835
1,0,0,10,0,0,0.066151544
1,0,0,10,0,0,0.0633623
1,0,0,10,0,0,0.06312683
1,0,0,10,0,0,0.07657087
1,0,0,10,0,0,0.060145937
1,0,0,10,0,0,0.064257026
1,0,0,10,0,0,0.061332207
1,0,0,10,0,0,0.06297169
1,0,0,10,0,0,0.061457887
1,0,0,10,0,0,0.06145097
1,0,0,10,0,0,0.06140039
1,0,0,10,0,0,0.0774441
1,0,0,10,0,0,0.061898056
1,0,0,10,0,0,0.0641783
1,0,0,10,0,0,0.06866572
1,0,0,10,0,0,0.064488016
1,0,0,10,0,0,0.061348084
1,0,0,10,0,0,0.061707377
1,0,0,10,0,0,0.06305291
1,0,0,10,0,0,0.06696973
1,0,0,10,0,0,0.0629332
1,0,0,10,0,0,0.06404728
1,0,0,10,0,0,0.062165447
1,0,0,10,0,0,0.061793342
1,0,0,10,0,0,0.067323096
1,0,0,10,0,0,0.060513984
1,0,0,10,0,0,0.06266795
1,0,0,+AC0-1,0,0,0.061774373
1,0,0,11,0,0,0.07145003
